date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:15:16	115/115	---M-Z	200	added ('OK')	text/plain	etag:%2259-1666809406;gz%22	https://www.gamefreeplay.xyz/robots.txt		(from )
20:15:16	52080/52080	---MCZ	200	added ('OK')	text/html	etag:%22303-1667159500;gz%22	https://www.gamefreeplay.xyz/bingo-blitz-free-collect/	F:/Adsterra/www.gamefreeplay.xyz/bingo-blitz-free-collect/index.html	(from )
20:15:17	5602/5602	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Apr%202022%2000:56:12%20GMT	https://www.gamefreeplay.xyz/wp-content/themes/twentytwentytwo/style.css?ver=1.2	F:/Adsterra/www.gamefreeplay.xyz/wp-content/themes/twentytwentytwo/style62ea.css	(from https://www.gamefreeplay.xyz/bingo-blitz-free-collect/)
20:15:17	19279/19279	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Aug%202022%2004:11:38%20GMT	https://www.gamefreeplay.xyz/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0	F:/Adsterra/www.gamefreeplay.xyz/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min91ce.css	(from https://www.gamefreeplay.xyz/bingo-blitz-free-collect/)
20:15:18	103736/103736	---M-Z	200	added ('OK')	text/css	date:Sun,%2030%20Oct%202022%2016:54:06%20GMT	https://www.gamefreeplay.xyz/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.8.0	F:/Adsterra/www.gamefreeplay.xyz/wp-content/plugins/elementor/assets/css/frontend-lite.min9e95.css	(from https://www.gamefreeplay.xyz/bingo-blitz-free-collect/)
20:15:18	1100/1100	---M-Z	200	added ('OK')	text/css	date:Sun,%2030%20Oct%202022%2016:49:11%20GMT	https://www.gamefreeplay.xyz/wp-content/uploads/elementor/css/post-11.css?ver=1667148551	F:/Adsterra/www.gamefreeplay.xyz/wp-content/uploads/elementor/css/post-11de39.css	(from https://www.gamefreeplay.xyz/bingo-blitz-free-collect/)
20:15:18	9475/9475	---M-Z	200	added ('OK')	text/css	date:Sun,%2030%20Oct%202022%2016:49:11%20GMT	https://www.gamefreeplay.xyz/wp-content/uploads/elementor/css/global.css?ver=1667148551	F:/Adsterra/www.gamefreeplay.xyz/wp-content/uploads/elementor/css/globalde39.css	(from https://www.gamefreeplay.xyz/bingo-blitz-free-collect/)
20:15:19	879/879	---M-Z	200	added ('OK')	text/css	date:Sun,%2030%20Oct%202022%2017:50:53%20GMT	https://www.gamefreeplay.xyz/wp-content/uploads/elementor/css/post-172.css?ver=1667152253	F:/Adsterra/www.gamefreeplay.xyz/wp-content/uploads/elementor/css/post-1720ffa.css	(from https://www.gamefreeplay.xyz/bingo-blitz-free-collect/)
20:15:20	110726/110726	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Oct%202022%2018:13:44%20GMT	https://www.gamefreeplay.xyz/wp-content/uploads/2022/10/BB_Logo_362x280.png	F:/Adsterra/www.gamefreeplay.xyz/wp-content/uploads/2022/10/BB_Logo_362x280.png	(from https://www.gamefreeplay.xyz/bingo-blitz-free-collect/)
20:15:20	94118/94118	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Oct%202022%2018:12:22%20GMT	https://www.gamefreeplay.xyz/wp-content/uploads/2022/10/Bingo-Blitz-Bonus-Collector-Free-Credits-Freebies-Coins-Daily-links-300x174.png	F:/Adsterra/www.gamefreeplay.xyz/wp-content/uploads/2022/10/Bingo-Blitz-Bonus-Collector-Free-Credits-Freebies-Coins-Daily-links-300x174.png	(from https://www.gamefreeplay.xyz/bingo-blitz-free-collect/)
20:15:21	5560/5560	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Oct%202022%2015:13:23%20GMT	https://www.gamefreeplay.xyz/wp-content/uploads/2022/10/images.png	F:/Adsterra/www.gamefreeplay.xyz/wp-content/uploads/2022/10/images.png	(from https://www.gamefreeplay.xyz/bingo-blitz-free-collect/)
20:15:21	4957/4957	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2030%20Oct%202022%2016:54:06%20GMT	https://www.gamefreeplay.xyz/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.8.0	F:/Adsterra/www.gamefreeplay.xyz/wp-content/plugins/elementor/assets/js/webpack.runtime.min9e95.js	(from https://www.gamefreeplay.xyz/bingo-blitz-free-collect/)
20:15:22	89521/89521	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2011%20Mar%202021%2001:37:24%20GMT	https://www.gamefreeplay.xyz/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	F:/Adsterra/www.gamefreeplay.xyz/wp-includes/js/jquery/jquery.minaf6c.js	(from https://www.gamefreeplay.xyz/bingo-blitz-free-collect/)
20:15:22	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Nov%202020%2019:36:06%20GMT	https://www.gamefreeplay.xyz/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	F:/Adsterra/www.gamefreeplay.xyz/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://www.gamefreeplay.xyz/bingo-blitz-free-collect/)
20:15:22	32947/32947	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2030%20Oct%202022%2016:54:06%20GMT	https://www.gamefreeplay.xyz/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.8.0	F:/Adsterra/www.gamefreeplay.xyz/wp-content/plugins/elementor/assets/js/frontend-modules.min9e95.js	(from https://www.gamefreeplay.xyz/bingo-blitz-free-collect/)
20:15:22	12198/12198	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2011%20Jan%202017%2021:35:32%20GMT	https://www.gamefreeplay.xyz/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	F:/Adsterra/www.gamefreeplay.xyz/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://www.gamefreeplay.xyz/bingo-blitz-free-collect/)
20:15:23	20715/20715	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2009%20Apr%202022%2005:37:18%20GMT	https://www.gamefreeplay.xyz/wp-includes/js/jquery/ui/core.min.js?ver=1.13.1	F:/Adsterra/www.gamefreeplay.xyz/wp-includes/js/jquery/ui/core.min0028.js	(from https://www.gamefreeplay.xyz/bingo-blitz-free-collect/)
20:15:23	40513/40513	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2030%20Oct%202022%2016:54:06%20GMT	https://www.gamefreeplay.xyz/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.8.0	F:/Adsterra/www.gamefreeplay.xyz/wp-content/plugins/elementor/assets/js/frontend.min9e95.js	(from https://www.gamefreeplay.xyz/bingo-blitz-free-collect/)
